"","employees","salaries2014","salaries2015","raise","got.raise"
"82","Employee 82",50952.1038038656,58166.8368275277,7214.73302366212,TRUE
"83","Employee 83",47899.2569469847,59507.3882620782,11608.1313150935,TRUE
"84","Employee 84",45680.774601642,54633.6678429507,8952.89324130863,TRUE
"85","Employee 85",48228.0132593587,51701.7317949794,3473.71853562072,TRUE
"86","Employee 86",45928.7908719853,56070.8437385038,10142.0528665185,TRUE
"87","Employee 87",53797.8308810852,53828.9943514392,31.1634703539312,TRUE
"88","Employee 88",54676.2733417563,52056.214524433,-2620.0588173233,FALSE
"89","Employee 89",47743.8984671608,60273.8041165285,12529.9056493677,TRUE
"90","Employee 90",46865.1334522292,55570.7280724309,8705.59462020174,TRUE
"91","Employee 91",48257.0698135532,59721.2652107701,11464.1953972168,TRUE
"92","Employee 92",49702.8934839182,60554.7583373263,10851.8648534082,TRUE
"93","Employee 93",53732.5535551645,53523.881176021,-208.672379143536,FALSE
"94","Employee 94",47660.222502891,52447.6291323081,4787.40662941709,TRUE
"95","Employee 95",54826.5906819142,58682.9220587388,3856.33137682453,TRUE
"96","Employee 96",49157.7099752612,58272.5177835673,9114.80780830607,TRUE
"97","Employee 97",54785.5804418214,51135.0724906661,-3650.5079511553,FALSE
"98","Employee 98",49384.7573315725,53162.5872282311,3777.82989665866,TRUE
"99","Employee 99",53317.8950147703,60013.7968608178,6695.90184604749,TRUE
"100","Employee 100",46328.2883586362,52140.3102451004,5812.02188646421,TRUE
